House Name,Muggle Studies,Charms,History of Magic,Flying,Astronomy,Defense Against the Dark Arts,Ancient Runes,Potions,Care of Magical Creatures
Ravenclaw,-0.2000459809107368,0.1988328960298354,0.3313148760117817,0.24175032166819094,0.07214662972386274,0.04250991092294229,0.0046418911578261085,0.32534964150020035,-0.0276247884418573
Slytherin,-0.19216272273514964,0.19408514752353032,-0.10713629288486583,-0.14767964436018388,0.045449358802791884,0.19220202864472016,-0.00016224026267469376,-0.16414203795186288,-0.15102846594045918
Gryffindor,0.10921359758913872,-0.10826186180003988,-0.06267934868464711,0.18678037226766056,-0.2843389088751554,-0.12624464597620516,-0.0124415434169928,-0.166588299235427,0.28488077975087506
Hufflepuff,0.28299510295822417,-0.2846561791554147,-0.1614992309901793,-0.2808510479323898,0.16674292193241486,-0.10846729244112552,0.00796189540805567,0.005380698078721771,-0.10622752659017932
